,year,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other Current Assets,TOTAL,PPE Net,Investments And Advances,Other Non-Current Assets,TOTAL ASSETS,Short Term Debt,Accounts Payable And Accrued Liabilities,Other Current Liabilities,Long Term Debt,Deferred Revenues,Other Non-Current Liabilities,TOTAL LIABILITIES,"Shares Outstanding, K",Common Shares,Retained Earnings,Other Shareholders' Equity,TOTAL LIABILITIES AND EQUITY,Azione,Accrued Expenses,Intangibles,Income Taxes - Deferred,$0
466,06-2016,"4,665,000",,"6,708,000",,"3,404,000","$55,276,000","34,896,000","3,679,000","8,273,000","$171,985,000","2,934,000","6,359,000",,"52,629,000","1,611,000","11,915,000","$116,709,000","4,823,651","28,000","22,117,000","2,179,000","$171,985,000",CMCSA,"6,697,000","110,360,000",,
467,03-2016,"5,628,000",,"6,375,000",,"3,177,000","$54,512,000","34,122,000","3,638,000","8,005,000","$170,599,000","4,119,000","6,333,000",,"51,515,000","1,393,000","11,577,000","$116,087,000","4,854,391","29,000","21,750,000","1,786,000","$170,599,000",CMCSA,"7,239,000","109,654,000",,
468,12-2015,"2,295,000",,"6,896,000",,"3,112,000","$53,978,000","33,665,000","3,224,000","8,127,000","$166,574,000","3,627,000","6,215,000",,"48,994,000","1,302,000","11,773,000","$112,596,000","4,884,797","29,000","21,413,000","1,535,000","$166,574,000",CMCSA,"7,034,000","109,255,000",,
469,09-2015,"1,893,000","137,000","6,527,000",,"2,944,000","$51,965,000","32,170,000","3,323,000","8,212,000","$158,958,000","3,152,000","5,996,000",,"44,605,000","1,265,000","11,853,000","$106,993,000","4,914,459","29,000","20,883,000","54,000","$158,958,000",CMCSA,"6,946,000","103,752,000",,
470,06-2015,"3,486,000","144,000","7,016,000",,"2,673,000","$52,729,000","31,572,000","2,999,000","8,196,000","$159,674,000","3,887,000","5,880,000",,"44,636,000","1,122,000","11,508,000","$106,945,000","4,984,857","29,000","21,313,000","163,000","$159,674,000",CMCSA,"6,676,000","103,588,000",,
471,03-2015,"3,937,000","158,000","6,144,000",,"2,682,000","$52,511,000","31,127,000","3,235,000","7,956,000","$158,757,000","4,180,000","6,157,000",,"42,953,000","970,000","11,854,000","$106,246,000","5,027,086","30,000","21,186,000","152,000","$158,757,000",CMCSA,"7,195,000","103,518,000",,
472,12-2014,"3,910,000","602,000","6,321,000",,"2,698,000","$53,068,000","30,953,000","3,135,000","7,907,000","$159,186,000","4,217,000","5,638,000",,"43,864,000","915,000","11,814,000","$106,118,000","5,082,134","30,000","21,539,000","211,000","$159,186,000",CMCSA,"6,640,000","103,660,000",,
473,09-2014,"4,547,000","531,000","6,172,000",,"2,686,000","$53,653,000","30,362,000","3,129,000","8,034,000","$159,237,000","3,523,000","5,680,000",,"44,827,000","976,000","11,405,000","$105,584,000","5,152,595","30,000","21,805,000","358,000","$159,237,000",CMCSA,"6,905,000","103,776,000",,
474,06-2014,"1,529,000","2,325,000","6,232,000",,"2,686,000","$52,332,000","29,970,000","3,072,000","7,725,000","$157,459,000","2,947,000","5,432,000",,"43,602,000","847,000","12,263,000","$105,127,000","5,176,206","30,000","20,432,000","347,000","$157,459,000",CMCSA,"8,149,000","103,920,000",,
475,03-2014,"3,054,000","2,389,000","6,151,000",,"2,449,000","$51,632,000","29,588,000","3,090,000","7,440,000","$157,773,000","2,819,000","5,534,000",,"44,581,000","776,000","12,095,000","$106,141,000","5,199,608","30,000","19,737,000","397,000","$157,773,000",CMCSA,"8,674,000","103,612,000",,
476,12-2013,"1,718,000","3,573,000","6,376,000",,"2,408,000","$51,058,000","29,840,000","3,770,000","7,337,000","$158,813,000","3,280,000","5,528,000",,"44,567,000","898,000","12,286,000","$107,755,000","5,213,100","30,000","19,235,000","420,000","$158,813,000",CMCSA,"9,206,000","103,791,000",,
477,09-2013,"1,603,000","4,132,000","5,501,000",,"2,171,000","$50,134,000","28,806,000","3,672,000","6,933,000","$156,595,000","2,337,000","6,032,000",,"44,188,000","1,001,000","12,300,000","$106,461,000","5,230,855","30,000","18,324,000","306,000","$156,595,000",CMCSA,"9,296,000","103,777,000",,
478,06-2013,"1,389,000","3,765,000","5,507,000",,"2,074,000","$49,486,000","28,255,000","5,299,000","6,651,000","$156,819,000","2,535,000","6,077,000",,"44,114,000","946,000","13,304,000","$107,333,000","5,249,823","31,000","17,509,000","472,000","$156,819,000",CMCSA,"9,044,000","103,879,000",,
479,03-2013,"1,839,000","2,841,000","5,063,000",,"2,040,000","$48,651,000","28,219,000","5,433,000","6,985,000","$156,364,000","2,177,000","5,750,000",,"45,049,000","903,000","13,286,000","$107,713,000","5,266,830","31,000","16,730,000","450,000","$156,364,000",CMCSA,"9,188,000","103,944,000",,
480,12-2012,"10,951,000","1,464,000","5,521,000",,"2,055,000","$49,796,000","27,232,000","6,325,000","7,234,000","$164,971,000","2,376,000","6,206,000",,"38,082,000","851,000","29,980,000","$115,175,000","5,278,985","31,000","16,280,000","455,000","$164,971,000",CMCSA,"7,281,000","104,189,000",,
481,09-2012,"8,899,000","1,401,000","5,123,000",,"2,643,000","$49,341,000","26,984,000","5,951,000","7,130,000","$162,454,000","2,799,000","6,250,000",,"35,791,000","887,000","28,891,000","$113,113,000","5,314,526","31,000","15,774,000","401,000","$162,454,000",CMCSA,"7,399,000","104,323,000",,
482,06-2012,"2,101,000","2,231,000","4,387,000",,"2,635,000","$48,179,000","26,891,000","8,018,000","7,265,000","$157,688,000","2,954,000","5,730,000",,"34,175,000","1,027,000","29,426,000","$109,509,000","5,351,652","31,000","14,626,000","278,000","$157,688,000",CMCSA,"6,031,000","104,160,000",,
483,03-2012,"2,207,000",N/A,"4,379,000",,"2,769,000","$47,821,000","26,962,000","10,149,000","7,315,000","$157,949,000","2,705,000","5,763,000",,"35,080,000",N/A,"29,381,000","$110,128,000","5,392,340","31,000","14,217,000","197,000","$157,949,000",CMCSA,"7,164,000","104,168,000",,
484,12-2011,"1,620,000","54,000","4,652,000",,"2,247,000","$47,655,000","27,559,000","9,854,000","7,417,000","$157,818,000","1,367,000","5,705,000",,"37,942,000","790,000","28,750,000","$110,163,000","5,411,868","32,000","13,971,000","229,000","$157,818,000",CMCSA,"5,379,000","104,415,000",,
485,09-2011,"1,806,000",N/A,"4,096,000",,"2,680,000","$47,012,000","27,441,000","9,575,000","7,570,000","$156,827,000","2,448,000","5,455,000",,"38,522,000",N/A,"27,226,000","$109,815,000","5,449,682","32,000","13,236,000","182,000","$156,827,000",CMCSA,"6,243,000","103,659,000",,
486,06-2011,"1,997,000",N/A,"4,156,000",,"2,197,000","$46,905,000","24,619,000","10,829,000","7,232,000","$154,782,000","1,350,000","4,838,000",,"38,209,000",N/A,"27,149,000","$107,877,000","5,498,226","32,000","12,932,000","157,000","$154,782,000",CMCSA,"6,509,000","103,752,000",,
487,03-2011,"1,822,000","74,000","3,708,000",,"1,943,000","$46,607,000","24,911,000","10,711,000","6,922,000","$154,259,000","2,296,000","4,858,000",,"38,130,000",N/A,"26,760,000","$107,652,000","5,532,390","31,000","12,504,000","182,000","$154,259,000",CMCSA,"6,593,000","104,168,000",,
488,12-2010,"5,984,000",N/A,"1,855,000",,"1,047,000","$44,434,000","23,515,000","6,670,000","1,632,000","$118,534,000","1,800,000","3,291,000",,"29,615,000","83,000","7,990,000","$74,100,000","5,552,998","32,000","12,158,000","-19,000","$118,534,000",CMCSA,"3,060,000","77,831,000",,
489,03-2023,"6,714,594","1,112,910",,,"2,655,116","$21,828,200","1,413,094",,"37,594,626","$49,490,340",,"591,987","4,344,580","14,037,960","1,262,271","5,308,120","$27,662,150","444,537","4,762,395","18,486,420","-191,615","$49,490,350",NFLX,"1,718,069",,,
490,12-2022,"5,147,176","911,276",,,"3,208,021","$20,777,400","1,398,257",,"37,930,043","$48,594,770",,"671,513","4,480,150","14,353,080","1,264,661","5,533,310","$27,817,370","445,347","4,637,601","17,181,300","-217,501","$48,594,770",NFLX,"1,514,650",,,
491,09-2022,"6,113,733",N/A,,,"2,703,170","$20,528,140","1,372,754",,"37,372,536","$47,562,190",,"560,156","4,225,890","13,888,120","1,176,323","5,380,000","$27,034,050","445,021","4,473,962","17,126,010","-247,832","$47,562,190",NFLX,"1,803,555",,,
492,06-2022,"5,819,449",N/A,,,"2,021,329","$19,075,970","1,361,920",,"37,148,240","$46,350,930",,"504,278","4,174,966","14,233,300","1,224,743","5,541,640","$27,274,960","444,706","4,316,870","15,727,770","-144,670","$46,350,930",NFLX,"1,596,035",,,
493,03-2022,"6,008,946",N/A,,,"2,089,069","$17,544,040","1,383,763",,"35,849,127","$45,330,900",,"617,202","4,066,289","14,534,560","1,239,048","5,512,650","$27,786,870","444,274","4,155,580","14,286,820","-74,360","$45,330,910",NFLX,"1,817,117",,,
494,12-2021,"6,027,804",,,,"2,042,021","$15,849,250","1,323,453",,"35,191,387","$44,584,660",,"837,483","4,292,967","14,693,070","1,209,342","5,553,380","$28,735,410","443,963","4,024,561","12,689,370","-40,681","$44,584,660",NFLX,"1,449,351",,,
495,09-2021,"7,526,681",,,,"1,889,106","$15,314,620","1,220,114",,"32,103,956","$42,739,860",,"643,059","4,110,962","14,793,690","1,182,632","4,582,300","$27,425,240","442,952","3,852,531","12,081,940","-19,851","$42,739,860",NFLX,"1,413,120",,,
496,06-2021,"7,777,530",,,,"1,826,746","$13,863,870","1,107,437",,"30,259,253","$40,970,970",,"622,931","4,197,874","14,926,890","1,187,364","4,347,320","$27,107,100","442,596","3,721,246","10,632,870","9,754","$40,970,970",NFLX,"1,125,591",,,
497,03-2021,"8,403,705",,,,"1,703,805","$12,884,080","1,015,419",,"29,000,091","$40,123,020",,"532,942","4,297,957","14,860,550","1,140,271","4,416,610","$27,238,930","443,384","3,600,084","9,279,859","4,137","$40,123,010",NFLX,"1,291,812",,,
498,12-2020,"8,205,550",,,,"1,556,030","$11,065,240","960,183",,"28,558,597","$39,280,360",,"656,183","4,429,536","15,809,090","1,117,992","4,600,240","$28,215,120","442,895","3,447,698","7,573,144","44,398","$39,280,360",NFLX,"1,102,196",,,
499,09-2020,"8,392,391",,,,"1,434,089","$10,333,320","828,118",,"27,967,942","$38,622,540",,"541,298","4,599,654","15,547,620","1,040,202","4,801,810","$28,289,220","441,795","3,303,482","7,030,988","-1,150","$38,622,540",NFLX,"1,259,124",,,
500,06-2020,"7,153,248",,,,"1,410,891","$9,334,753","751,941",,"27,859,199","$37,175,280",,"446,668","4,664,733","15,295,000","1,029,261","4,919,110","$27,840,530","441,016","3,127,813","6,241,012","-34,072","$37,175,283",NFLX,"986,595",,,
501,03-2020,"5,151,884",,,,"1,295,897","$8,409,294","650,455",,"27,961,675","$35,059,910",,"545,488","4,761,585","14,170,690","986,753","4,626,200","$26,650,620","439,781","2,935,532","5,520,816","-47,054","$35,059,914",NFLX,"1,061,090",,,
502,12-2019,"5,018,437",,,,"1,160,067","$7,582,157","565,221",,"27,231,989","$33,975,710",,"674,347","4,413,561","14,759,260","924,745","4,778,600","$26,393,550","438,807","2,793,929","4,811,749","-23,521","$33,975,707",NFLX,"843,043",,,
503,09-2019,"4,435,018",,,,"892,740","$6,861,505","481,992",,"25,131,958","$30,941,710",,"444,129","4,860,542","12,425,750","915,506","4,396,560","$24,080,210","438,251","2,677,972","4,224,779","-41,246","$30,941,715",NFLX,"1,037,723",,,
504,06-2019,"5,004,247",,,,"872,910","$6,105,548","452,399",,"23,841,781","$30,171,340",,"442,194","4,848,201","12,594,130","892,777","4,537,680","$24,065,790","437,835","2,566,365","3,559,535","-20,352","$30,171,338",NFLX,"750,812",,,
505,03-2019,"3,348,557",,,,"820,350","$5,703,058","434,372",,"22,615,348","$27,218,630",,"439,496","4,863,351","10,305,020","808,692","4,352,750","$21,515,570","437,192","2,439,773","3,288,885","-25,600","$27,218,628",NFLX,"746,268",,,
506,12-2018,"3,794,483",,,,"5,899,652","$5,238,765","418,281",,"15,861,989","$25,974,400",,"562,985","4,681,562","10,360,060","760,899","3,888,250","$20,735,630","436,599","2,315,988","2,942,359","-19,582","$25,974,395",NFLX,"481,874",,,
507,09-2018,"3,067,534",,,,"5,662,447","$5,009,653","371,152",,"14,265,098","$23,366,230",,"441,427","4,613,011","8,336,586","716,723","3,721,754","$18,356,580","436,085","2,215,736","2,808,425","-14,508","$23,366,233",NFLX,"527,079",,,
508,06-2018,"3,906,357",,,,"5,440,532","$4,496,600","349,646",,"12,967,004","$22,663,540",,"448,219","4,541,087","8,342,067","697,740","3,745,233","$18,166,940","435,458","2,103,437","2,405,590","-12,427","$22,663,540",NFLX,"392,595",,,
509,03-2018,"2,593,666",N/A,,,"5,223,910","$4,020,730","341,932",,"11,993,288","$20,152,800",,"436,183","4,466,081","6,542,373","673,892","3,584,107","$16,132,070","434,657","1,995,225","2,021,241","4,264","$20,152,800",NFLX,"429,431",,,
510,12-2017,"2,822,795",N/A,,,"4,847,179","$3,581,956","319,404",,"11,023,366","$19,012,740",,"359,555","4,173,041","6,499,432","618,622","3,465,043","$15,430,790","433,948","1,871,396","1,731,117","-20,557","$19,012,746",NFLX,"315,094",,,
511,09-2017,"1,746,469",N/A,,,"4,638,879","$3,327,361","322,421",,"10,243,769","$16,951,540",,"301,443","4,142,086","4,888,783","535,425","3,424,719","$13,624,180","432,731","1,807,123","1,545,600","-25,362","$16,951,541",NFLX,"331,723",,,
512,06-2017,"1,918,777","246,125",,,"4,535,883","$3,112,500","309,831",,"9,506,607","$16,517,220",,"273,398","4,095,374","4,836,502","505,302","3,445,275","$13,404,720","431,750","1,727,858","1,416,010","-31,368","$16,517,220",NFLX,"248,871",,,
513,03-2017,"1,077,824","263,405",,,"4,319,101","$2,973,683","275,083",,"8,423,683","$14,359,100",,"294,831","3,861,447","3,365,431","458,693","3,108,753","$11,385,410","430,993","1,669,132","1,350,410","-45,859","$14,359,093",NFLX,"296,258",,,
514,12-2016,"1,467,576","266,206",,,"3,986,509","$2,679,800","250,395",,"7,615,924","$13,586,610",,"312,842","3,632,711","3,364,311","443,472","2,955,842","$10,906,810","430,412","1,599,762","1,128,603","-48,565","$13,586,610",NFLX,"197,632",,,
515,09-2016,"969,158","374,098",,,"3,850,637","$2,528,966","191,876",,"6,961,569","$12,347,340",,"285,753","3,497,214","2,373,966","427,206","3,033,001","$9,818,372","429,145","1,503,641","1,061,855","-36,530","$12,347,338",NFLX,"201,232",,,
516,06-2016,"1,390,925","443,303",,,"3,552,690","$2,415,834","162,864",,"6,043,725","$11,593,510",,"240,458","3,242,330","2,373,085","396,976","2,752,751","$9,177,673","428,725","1,443,707","1,010,338","-38,211","$11,593,507",NFLX,"172,073",,,
517,03-2016,"1,605,244","467,227",,,"3,471,365","$2,317,233","166,254",,"5,552,184","$11,262,270",,"231,914","3,145,861","2,372,218","374,223","2,639,191","$8,945,041","428,289","1,382,051","969,583","-34,401","$11,262,274",NFLX,"181,634",,,
518,12-2015,"1,809,330","501,385",,,"3,121,125","$2,223,426","173,412",,"4,597,619","$10,202,870",,"253,491","2,789,023","2,371,362","346,721","2,078,459","$7,979,445","428,081","1,324,809","941,925","-43,308","$10,202,871",NFLX,"140,389",,,
519,09-2015,"2,115,437","494,205",,,"2,960,071","$2,167,318","181,268",,"4,165,286","$9,916,267",,"209,365","2,622,964","2,400,000","329,739","2,007,531","$7,748,949","427,388","1,306,461","898,747","-37,890","$9,916,267",NFLX,"179,350",,,
520,06-2015,"2,293,872","502,886",,,"2,803,752","$2,032,075","171,396",,"3,882,955","$9,654,861",,"211,729","2,556,180","2,400,000","301,754","2,002,717","$7,622,786","426,005","1,200,880","869,315","-38,120","$9,654,861",NFLX,"150,406",,,
521,03-2015,"2,454,777","502,931",,,"2,581,348","$1,909,214","145,816",,"3,555,754","$9,240,626",,"190,567","2,425,619","2,400,000","285,340","1,922,563","$7,331,412","424,345",61,"842,980","-43,154","$9,240,626",NFLX,"107,323",,,
522,12-2014,"1,113,608","494,888",,,"2,318,557","$1,857,708","149,875",,"2,965,572","$7,042,500",,"201,581","2,117,241","885,849","274,586","1,635,789","$5,184,792","423,487","1,042,870","819,284","-4,446","$7,042,500",NFLX,"69,746",,,
523,09-2014,"1,183,217","483,602",,,"2,156,663","$1,724,874","144,147",,"2,810,700","$6,778,329",,"150,374","2,074,766","900,000","252,956","1,604,800","$5,053,455","421,725",60,"735,913","1,645","$6,778,329",NFLX,"70,559",,,
524,06-2014,"1,214,244","500,121",,,"1,954,015","$1,609,705","141,715",,"2,515,727","$6,325,822",,"137,226","1,858,020","900,000","241,330","1,480,993","$4,716,117","420,637",60,"676,618","6,502","$6,325,822",NFLX,"98,548",,,
525,03-2014,"1,157,450","510,793",,,"1,918,541","$1,478,358","133,473",,"2,327,849","$6,048,106",,"133,883","1,844,897","900,000","230,015","1,406,095","$4,569,748","419,582",60,"605,600","4,503","$6,048,106",NFLX,"54,858",,,
526,12-2013,"604,965","595,440",,,"1,858,358","$1,333,561","133,605",,"2,220,195","$5,412,563",,"108,435","1,775,983","500,000","215,767","1,424,799","$4,079,002","418,651",60,"552,485","3,575","$5,412,563",NFLX,"54,018",,,
527,09-2013,"439,056","695,931",,,"1,683,769","$1,204,370","127,263",,"1,924,784","$4,901,325",,"100,899","1,591,981","500,000","195,823","1,261,819","$3,696,955","414,805",59,"504,064","1,570","$4,901,325",NFLX,"46,433",,,
528,06-2013,"370,678","709,432",,,"1,458,148","$1,105,622","127,931",,"1,782,498","$4,480,751",,"103,441","1,321,217","500,000","186,571","1,204,865","$3,375,129","412,457",59,"472,242","-1,664","$4,480,751",NFLX,"59,035",,,
529,03-2013,"418,051","607,821",,,"1,473,974","$812,919","129,319",,"1,676,870","$4,363,289",,"102,822","1,355,010","700,000","178,878","1,161,656","$3,550,370","393,008",56,"442,771",291,"$4,363,289",NFLX,"52,004",,,
530,12-2012,"290,291","457,787",,,"1,492,713","$744,673","131,681",,"1,595,418","$3,967,890",,"86,468","1,366,847","400,000","169,472","1,147,291","$3,223,217","391,954",56,"440,082","2,919","$3,967,890",NFLX,"53,139",,,
531,09-2012,"370,298","428,057",,,"1,393,511","$716,840","133,603",,"1,450,212","$3,808,833",,"91,511","1,280,885","400,000","155,146","1,093,770","$3,091,993","388,819",56,"432,185","3,006","$3,808,833",NFLX,"70,681",,,
532,06-2012,"402,251","411,092",,,"1,275,932","$688,226","124,644",,"1,215,861","$3,478,290",,"90,961","1,204,209","400,000","152,790","891,220","$2,790,064","388,740",56,"424,510",961,"$3,478,290",NFLX,"50,884",,,
533,03-2012,"395,992","408,534",,,"1,201,202","$663,402","128,197",,"1,293,521","$3,480,459",,"83,119","1,163,839","400,000","150,602","970,391","$2,817,057","388,609",55,"418,346","1,577","$3,480,459",NFLX,"49,106",,,
534,12-2011,"508,053","289,758",,,"977,039","$642,810","136,353",,"1,101,986","$3,069,196",,"86,992","935,036","400,000","148,796","801,331","$2,426,386","387,930",55,"422,930",706,"$3,069,196",NFLX,"54,231",,,
535,09-2011,"159,199","206,573",,,"747,195","$388,352","143,993",,"627,452","$1,961,558",,"750,107",N/A,"200,000","160,929","372,840","$1,573,206","367,529",53,"387,711",588,"$1,961,558",NFLX,"54,671",,,
536,06-2011,"175,207","201,200",,,"533,226","$334,034","136,948",,"464,301","$1,570,693",,"533,436",N/A,"200,000","146,937","276,964","$1,236,659","367,754",53,"333,097",884,"$1,570,693",NFLX,"44,137",,,
537,03-2011,"150,419","192,302",,,"304,284","$275,722","134,800",,"233,786","$1,090,188",,"301,009",N/A,"200,000","143,045","90,584","$814,466","367,634",52,"275,080",590,"$1,090,188",NFLX,"44,123",,,
538,12-2010,"194,499","155,888",,,"224,627","$290,164","128,570",,"216,266","$982,067",,"222,824",N/A,"200,000","127,183","103,324","$691,903","370,235",53,"237,739",750,"$982,067",NFLX,"38,572",,,
539,03-2023,"4,770,000","434,000","10,469,000","5,697,000",,"$17,175,000","24,228,000","3,123,000","9,652,000","$93,042,000",,"21,556,000",,"37,486,000",,"8,493,000","$75,867,000","1,377,693","23,000","68,142,000","-15,468,000","$93,042,000",PEP,,"33,612,000",,
540,12-2022,"4,954,000","394,000","10,163,000","5,222,000",,"$17,273,000","24,291,000","3,073,000","9,496,000","$92,187,000",,"23,371,000",,"35,657,000",,"8,322,000","$74,914,000","1,377,251","23,000","67,800,000","-15,178,000","$92,187,000",PEP,,"33,788,000",,
